tar_num,ave_rating,sentence,isPun,sentenceID,isCorrect,measure1.ave,measure1.max,measure2.ave,measure2.max,measure3.ave,measure4.max,measure4.sum,measure5.max,measure5.sum
,,Atheism is a non #prophet organization.,0,1,0,-0.294059702193567,0.212970834416913,-0.580786011200611,1.0379935134522,1.46311266126237,2.50110617471457,3.81834506050624,-0.425119147810162,-1.74235803360183
,,I get my large circumference from too much #pi.,0,2,0,0.302150790808079,1.27193586016228,0.141901607171265,0.891968898737335,0.891968898737335,1.1974087293446,1.35823297596088,0.586529068130074,0.425704821513794
,,Bakers trade bread recipes on a #knead to know basis.,0,3,0,0.223081178786985,1.45620579262288,0.285138152172175,2.26134680612033,2.26134680612033,3.52401141222654,8.26859999793607,0.998682200014113,1.71082891303305
,,The indecisive rower could not choose either #oar.,0,4,0,-0.201854089772391,1.51772650409791,-0.831586923420104,2.42373822872553,2.42373822872553,4.56258285812019,8.17382415113147,0.28489359933087,-3.32634769368042
,,It was an emotional wedding. Even the cake was in #tiers.,0,5,0,0.227220546225174,0.846589749037438,0.240396070094902,1.42929022840021,1.7864516584465,3.21574188684672,4.53448759727262,-0.35716143004629,0.961584280379608
1,0.20580849,A new country decided to conduct a flag #poll.,0,6,0,0.022772835957032,0.771880233844757,0.173464256908804,1.21335516578724,1.39274829163144,2.60610345741868,3.6528178678069,-0.1793931258442,0.867321284544019
2,1.082526095,At some executive meetings there is a chairman of the #bored.,0,7,0,0.056717516995779,0.476620883815132,-1.49482016709957,-1.06206508142825,2.18563624119662,1.12357115976837,4.4844605012987,-3.24770132262487,-4.4844605012987
3,-0.209620814,Did you know that donuts were first made in #Greece?,0,8,0,-0.536419293739219,-0.367145191414409,-0.18675296975218,0.504596251994643,1.64765166897366,2.1522479209683,2.5482914589386,-1.14305541697902,-0.747011879008718
4,0.784731083,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,0,9,0,-0.330459528826592,1.46768639562691,-0.314065916814219,0.913141391228043,1.25807574818405,2.17121713941209,4.24643146132671,-0.344934356956008,-2.19846141769953
5,0.512066291,It was not school John disliked. it was just the #principal of it.,0,10,0,0.481306645523702,1.73631632190123,0.356958783174362,0.71682426909872,0.71682426909872,0.563382769919512,1.07087634952309,0.870265768277928,1.07087634952309
6,0.812253245,Some music stores are in a #CD part of town.,0,11,0,0.390246218920599,1.75823618229048,0.628455708758762,2.25288676170553,2.25288676170553,3.5989086744696,5.20586666056318,0.906864848941471,2.51382283503505
7,0.887547689,The magician got so mad he pulled his #hare out.,0,12,0,-0.348555604971091,0.480614666665408,-0.132303718098081,1.01054788626525,1.43273229072747,2.44328017699272,2.69825880262587,-0.422184404462226,-0.529214872392325
8,0.841657622,The young pine sapling was admonished by his father. Apparently he had been #knotty.,0,13,0,-0.579580376062813,0.186427140223222,-0.423192118739421,0.793982667038064,1.88300715744541,2.67698982448348,5.51780933587489,-1.08902449040735,-2.53915271243653
9,0.222249786,To learn rope tricks you have to be #taut.,0,14,0,-0.232761166219783,0.823133524033699,-0.521221489735172,1.11581313726842,2.16084440813654,3.27665754540497,3.79529074374236,-1.04503127086812,-1.56366446920552
10,0.627749749,I dropped out of Communism class because of lousy #Marx.,0,15,0,-0.067447651586544,1.484117772585,0.180904929447178,2.20753242462983,2.20753242462983,2.89816572409509,3.56250990118321,1.51689912516457,0.90452464723589
11,0.809688776,A boy who instinctively waves at people has a natural #hi.,0,16,0,-0.171524527258949,0.960027098316622,0.057741317480885,0.667075858106817,0.704731104613195,1.37180696272001,2.20824161288337,-0.037655246506378,0.288706587404426
